"","X","meta","color_chip_size","median_color_chip_height","median_color_chip_width","num_mask_shapes","horizontal_reference_position","height_above_reference","height_below_reference","area_above_reference","percent_area_above_reference","area_below_reference","percent_area_below_reference","in_bounds","area","convex_hull_area","solidity","perimeter","width","height","longest_path","convex_hull_vertices","object_in_frame","ellipse_major_axis","ellipse_minor_axis","ellipse_angle","ellipse_eccentricity","hue_circular_mean","hue_circular_std","hue_median"
"7433",7433,"/file/path/snapshot10877/VIS_SV_0_z1_h1_g0_e65_v500_new_29792_0.png",1296.5,37,37,3,1365,349,0,14927,100,0,0,TRUE,14927,41908.5,0.356180727060143,1889.68751597404,260,349,2339,19,TRUE,1152.71557617188,500.629089355469,0,0.900766316752699,86.9992067035181,29.0738750775921,86
"7434",7434,"/file/path/snapshot10877/VIS_SV_90_z1_h1_g0_e65_v500_new_29793_0.png",1296.5,37,37,3,1365,373,0,18678,100,0,0,TRUE,18678,74178.5,0.251798027730407,2264.86169755459,345,373,2467,17,TRUE,1076.05493164062,390.585327148438,154.541870117188,0.931797325749971,85.3220923723795,30.4918016416286,86
"7435",7435,"/file/path/snapshot10878/VIS_SV_0_z1_h1_g0_e65_v500_new_29798_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7436",7436,"/file/path/snapshot10878/VIS_SV_90_z1_h1_g0_e65_v500_new_29799_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7437",7437,"/file/path/snapshot10879/VIS_SV_0_z1_h1_g0_e65_v500_new_29804_0.png",1296.5,37,37,2,1365,461,0,25383,100,0,0,TRUE,25383,140863.5,0.180195721389856,3246.68976914883,589,461,3998,14,TRUE,648.170166015625,480.999237060547,114.653091430664,0.670302580418871,87.3914690681341,32.5848101891355,86
"7438",7438,"/file/path/snapshot10879/VIS_SV_90_z1_h1_g0_e65_v500_new_29805_0.png",1296.5,37,37,5,1365,468,0,21445,100,0,0,TRUE,21445,90087.5,0.238046343832385,3571.80114853382,347,468,3280,16,TRUE,432.759124755859,252.840057373047,142.366851806641,0.811572845068622,88.9582318955592,38.0258173688547,86
"7439",7439,"/file/path/snapshot10880/VIS_SV_0_z1_h1_g0_e65_v500_new_29807_0.png",1296.5,37,37,4,1365,609,0,38700,100,0,0,TRUE,38700,249490,0.155116437532566,4825.25032734871,749,609,5111,23,TRUE,695.169006347656,652.098449707031,142.666610717773,0.34651875934304,82.4672065754629,30.2838325215897,82
"7440",7440,"/file/path/snapshot10880/VIS_SV_90_z1_h1_g0_e65_v500_new_29808_0.png",1296.5,37,37,3,1365,653,0,32505,100,0,0,TRUE,32505,59448,0.54678037949132,1653.82755064964,164,653,3309,18,TRUE,588.147338867188,127.411354064941,6.39797735214233,0.976253404274527,83.0106340116352,20.9387675114291,82
"7441",7441,"/file/path/snapshot10881/VIS_SV_0_z1_h1_g0_e65_v500_new_29816_0.png",1296.5,37,37,6,1365,465,0,20176,100,0,0,TRUE,20176,37324.5,0.540556470950716,1275.43563437462,162,465,3373,14,TRUE,424.59130859375,104.852226257324,166.126022338867,0.969028581836078,85.3929528313134,24.9688791586672,86
"7442",7442,"/file/path/snapshot10881/VIS_SV_90_z1_h1_g0_e65_v500_new_29817_0.png",1296.5,37,37,5,1365,471,0,33633,100,0,0,TRUE,33633,187765,0.179122839719863,4979.67509758472,703,471,4489,15,TRUE,830.858520507812,614.058898925781,0,0.673633529074177,83.6283337480434,32.9587782241429,84
"7443",7443,"/file/path/snapshot10882/VIS_SV_0_z1_h1_g0_e65_v500_new_29819_0.png",1296.5,37,37,4,1365,573,0,26274,100,0,0,TRUE,26274,84508.5,0.310903636912263,2710.45221114159,224,573,3458,10,TRUE,535.065368652344,194.090179443359,2.72766590118408,0.931889973538255,84.4871739510808,26.4666639705417,84
"7444",7444,"/file/path/snapshot10882/VIS_SV_90_z1_h1_g0_e65_v500_new_29820_0.png",1296.5,37,37,2,1365,604,0,28975,100,0,0,TRUE,28975,111938,0.258848648358913,4087.14311528206,306,604,4129,21,TRUE,545.548583984375,227.456283569336,164.521591186523,0.908937999059776,85.8026972934396,32.8015051253631,82
"7445",7445,"/file/path/snapshot10883/VIS_SV_0_z1_h1_g0_e65_v500_new_29828_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7446",7446,"/file/path/snapshot10883/VIS_SV_90_z1_h1_g0_e65_v500_new_29829_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7447",7447,"/file/path/snapshot10884/VIS_SV_0_z1_h1_g0_e65_v500_new_29831_0.png",1296.5,37,37,3,1365,395,0,22569,100,0,0,TRUE,22569,145144,0.155493854379099,3875.21092915535,654,395,4241,14,TRUE,3202.44262695312,582.053771972656,107.941452026367,0.983344203388261,78.5228667693612,29.505684565248,76
"7448",7448,"/file/path/snapshot10884/VIS_SV_90_z1_h1_g0_e65_v500_new_29832_0.png",1296.5,37,37,4,1365,401,0,15862,100,0,0,TRUE,15862,53585,0.296015676028739,2278.68457615376,238,401,2794,11,TRUE,518.12353515625,219.133941650391,159.589904785156,0.906158793173542,80.5403699244912,26.7731776570172,80
"7449",7449,"/file/path/snapshot10885/VIS_SV_0_z1_h1_g0_e65_v500_new_29840_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7450",7450,"/file/path/snapshot10885/VIS_SV_90_z1_h1_g0_e65_v500_new_29841_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7451",7451,"/file/path/snapshot10886/VIS_SV_0_z1_h1_g0_e65_v500_new_29846_0.png",1296.5,37,37,5,1365,510,0,31250,100,0,0,TRUE,31250,104127.5,0.300112842428753,3504.87056386471,456,510,4095,21,TRUE,645.713195800781,318.082458496094,159.085067749023,0.870252219768713,88.1427768712156,29.0122422440181,84
"7452",7452,"/file/path/snapshot10886/VIS_SV_90_z1_h1_g0_e65_v500_new_29847_0.png",1296.5,37,37,3,1365,518,0,30172,100,0,0,TRUE,30172,165391.5,0.182427754751605,4062.97966611385,557,518,3746,18,TRUE,897.765869140625,343.74072265625,114.904037475586,0.92379618189225,84.1696120442528,30.5354231462913,84
"7453",7453,"/file/path/snapshot10887/VIS_SV_0_z1_h1_g0_e65_v500_new_29852_0.png",1296.5,37,37,2,1365,423,0,21274,100,0,0,TRUE,21274,82475,0.257944831767202,2204.00376045704,351,423,3178,17,TRUE,504.627136230469,201.934417724609,138.875,0.916442850028542,88.6848556236964,33.1946304148634,86
"7454",7454,"/file/path/snapshot10887/VIS_SV_90_z1_h1_g0_e65_v500_new_29853_0.png",1296.5,37,37,1,1365,444,1,23385,99.9529834159685,11,0.0470165840314584,TRUE,23396,84358.5,0.277340161335254,2107.72408103943,356,445,2736,23,TRUE,484.848480224609,231.656707763672,153.252807617188,0.878473015426226,87.3778766848649,29.1704441707281,86
"7455",7455,"/file/path/snapshot10888/VIS_SV_0_z1_h1_g0_e65_v500_new_29858_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7456",7456,"/file/path/snapshot10888/VIS_SV_90_z1_h1_g0_e65_v500_new_29859_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7457",7457,"/file/path/snapshot10889/VIS_SV_0_z1_h1_g0_e65_v500_new_29864_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7458",7458,"/file/path/snapshot10889/VIS_SV_90_z1_h1_g0_e65_v500_new_29865_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7459",7459,"/file/path/snapshot10890/VIS_SV_0_z1_h1_g0_e65_v500_new_29870_0.png",1296.5,37,37,2,1365,465,0,32400,100,0,0,TRUE,32400,200381,0.161691976784226,4742.82057952881,762,465,4879,17,TRUE,1091.76904296875,292.625152587891,69.6525192260742,0.963411000437129,80.9062275245687,28.1502404176137,78
"7460",7460,"/file/path/snapshot10890/VIS_SV_90_z1_h1_g0_e65_v500_new_29871_0.png",1296.5,37,37,2,1365,451,0,21491,100,0,0,TRUE,21491,56006,0.38372674356319,2066.85449171066,227,451,3005,14,TRUE,426.586700439453,150.857269287109,19.9146518707275,0.935382361448549,81.7110081642586,23.4886055106824,80
"7461",7461,"/file/path/snapshot10891/VIS_SV_0_z1_h1_g0_e65_v500_new_29876_0.png",1296.5,37,37,9,1365,494,0,28751,100,0,0,TRUE,28751,77197.5,0.372434340490301,1879.21441459656,313,494,3283,12,TRUE,431.092407226562,254.186248779297,177.681793212891,0.807671400387885,83.7502847980906,23.4326282444912,84
"7462",7462,"/file/path/snapshot10891/VIS_SV_90_z1_h1_g0_e65_v500_new_29877_0.png",1296.5,37,37,3,1365,510,0,36065,100,0,0,TRUE,36065,172803,0.208705867374988,4202.78853774071,647,510,4481,17,TRUE,965.24365234375,596.262390136719,87.526725769043,0.786388287293846,84.9027468597983,28.6555471809065,82
"7463",7463,"/file/path/snapshot10892/VIS_SV_0_z1_h1_g0_e65_v500_new_29882_0.png",1296.5,37,37,2,1365,384,0,21461,100,0,0,TRUE,21461,112923.5,0.190049015483934,2396.9770642519,541,384,3668,20,TRUE,558.88671875,275.747741699219,124.743041992188,0.869809598822598,87.7454916001048,33.7416483555675,86
"7464",7464,"/file/path/snapshot10892/VIS_SV_90_z1_h1_g0_e65_v500_new_29883_0.png",1296.5,37,37,8,1365,381,0,19792,100,0,0,TRUE,19792,42319.5,0.467680383747445,2439.68214607239,243,381,2872,22,TRUE,391.248657226562,118.354026794434,31.1464195251465,0.953148323931435,88.4853549340702,28.3015321342891,88
"7465",7465,"/file/path/snapshot10893/VIS_SV_0_z1_h1_g0_e65_v500_new_29888_0.png",1296.5,37,37,2,1365,298,0,11859,100,0,0,TRUE,11859,26501.5,0.44748410467332,1097.0924885273,228,298,2048,13,TRUE,3226.07885742188,678.027587890625,171.240051269531,0.977664683345034,84.8436446776035,29.2533773780948,84
"7466",7466,"/file/path/snapshot10893/VIS_SV_90_z1_h1_g0_e65_v500_new_29889_0.png",1296.5,37,37,3,1365,287,0,13171,100,0,0,TRUE,13171,54323,0.242457154428143,1490.90575861931,470,287,2832,13,TRUE,586.4716796875,524.150024414062,0,0.448596130229359,85.8996628720835,36.1617722915607,82
"7467",7467,"/file/path/snapshot10894/VIS_SV_0_z1_h1_g0_e65_v500_new_29894_0.png",1296.5,37,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7468",7468,"/file/path/snapshot10894/VIS_SV_90_z1_h1_g0_e65_v500_new_29895_0.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7469",7469,"/file/path/snapshot10895/VIS_SV_0_z1_h1_g0_e65_v500_new_29900_0.png",1296.5,37,37,4,1365,623,0,23418,100,0,0,TRUE,23418,93482,0.250508119210115,2126.98901891708,311,623,3716,9,TRUE,534.372985839844,484.698913574219,178.930282592773,0.421039460352223,86.0738889840437,30.3637451618281,86
"7470",7470,"/file/path/snapshot10895/VIS_SV_90_z1_h1_g0_e65_v500_new_29901_0.png",1296.5,37,37,2,1365,628,0,29051,100,0,0,TRUE,29051,135166,0.214928310373911,3538.52675926685,445,628,4165,11,TRUE,1023.14770507812,337.851348876953,0,0.943908264256283,87.394421397978,31.2786115675307,86
"7471",7471,"/file/path/snapshot10896/VIS_SV_0_z1_h1_g0_e65_v500_new_29906_0.png",1296.5,37,37,5,1365,490,0,37469,100,0,0,TRUE,37469,204981.5,0.182792105629045,4422.93259418011,684,490,4838,23,TRUE,791.8837890625,343.755157470703,61.3865089416504,0.900865660965616,80.5418646261415,30.3747471461091,82
"7472",7472,"/file/path/snapshot10896/VIS_SV_90_z1_h1_g0_e65_v500_new_29907_0.png",1296.5,37,37,3,1365,479,0,36291,100,0,0,TRUE,36291,145969.5,0.248620430980445,2814.06426250935,500,479,3943,17,TRUE,558.88134765625,350.177917480469,64.4499588012695,0.779365678874146,80.4030348408076,28.8555244917558,82
